# Titik pantau debit sungai Jawa Barat: 38 titik di 14 sungai utama (PRD, bagian Sungai yang dipantau).
# Koordinat adalah perkiraan dari nama lokasi; `make river-snap` memilih sel GloFAS di dalam radius (derajat).
# Radius 0 = sel sudah diverifikasi manual di peta; tulis asal verifikasinya di kolom catatan.
# Urutan per sungai dari hulu ke hilir. Radius 0,05 untuk titik yang berdekatan dengan sungai lain.
# 38 titik
id,sungai,nama,lat,lon,radius,catatan
citarum-majalaya,Citarum,Majalaya,-7.045,107.755,0.05,
citarum-dayeuhkolot,Citarum,Dayeuhkolot,-6.987,107.625,0.05,
citarum-nanjung,Citarum,Nanjung,-6.941,107.537,0.05,
citarum-hilir-jatiluhur,Citarum,Hilir Jatiluhur,-6.450,107.360,0.1,
citarum-karawang,Citarum,Karawang,-6.295,107.300,0.1,
citarum-muara,Citarum,Muara,-5.950,107.040,0.1,
cimanuk-garut,Cimanuk,Garut kota,-7.210,107.900,0.1,
cimanuk-hulu-jatigede,Cimanuk,Hulu Jatigede,-7.020,108.030,0.1,
cimanuk-hilir-jatigede,Cimanuk,Hilir Jatigede,-6.780,108.130,0.1,
cimanuk-jatibarang,Cimanuk,Jatibarang,-6.470,108.310,0.1,
cimanuk-muara,Cimanuk,Muara,-6.280,108.340,0.1,
bekasi-cileungsi,Cileungsi,Cileungsi,-6.400,106.970,0.05,
bekasi-cikeas,Cikeas,Cikeas,-6.400,106.920,0.05,
bekasi-p2c,Kali Bekasi,Pertemuan Cileungsi-Cikeas,-6.310,106.970,0.1,
bekasi-kota,Kali Bekasi,Bekasi kota,-6.235,106.990,0.1,
cisadane-hulu,Cisadane,Hulu Salak,-6.700,106.760,0.1,
cisadane-bogor,Cisadane,Kota Bogor,-6.590,106.770,0.05,
cisadane-batas-banten,Cisadane,Batas Banten,-6.390,106.660,0.1,
ciliwung-katulampa,Ciliwung,Katulampa,-6.633,106.837,0.05,
ciliwung-bogor,Ciliwung,Kota Bogor,-6.580,106.810,0.05,
ciliwung-depok,Ciliwung,Depok,-6.400,106.830,0.1,
cisanggarung-kuningan,Cisanggarung,Kuningan,-7.050,108.700,0.1,
cisanggarung-cirebon-timur,Cisanggarung,Cirebon timur,-6.920,108.740,0.1,
cisanggarung-muara,Cisanggarung,Muara,-6.800,108.830,0.1,
cipunagara-subang,Cipunagara,Subang tengah,-6.520,107.850,0.1,
cipunagara-pamanukan,Cipunagara,Pamanukan,-6.280,107.820,0.1,
cilamaya-hilir,Cilamaya,Hilir,-6.250,107.570,0.1,
citanduy-tasikmalaya,Citanduy,Tasikmalaya,-7.220,108.280,0.1,
citanduy-ciamis,Citanduy,Ciamis,-7.330,108.370,0.1,
citanduy-banjar,Citanduy,Kota Banjar,-7.370,108.530,0.1,
citanduy-muara,Citanduy,Muara,-7.630,108.800,0.1,
cimandiri-tengah,Cimandiri,Tengah,-7.000,106.720,0.1,
cimandiri-palabuhanratu,Cimandiri,Palabuhanratu,-6.990,106.550,0.1,
ciwulan-tengah,Ciwulan,Tengah,-7.450,108.100,0.1,
ciwulan-muara,Ciwulan,Muara,-7.740,108.030,0.1,
cilaki-muara,Cilaki,Muara,-7.660,107.630,0.1,
cikaso-muara,Cikaso,Muara,-7.420,106.880,0.1,
cibuni-muara,Cibuni,Muara,-7.440,107.020,0.1,
