latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-7.77951,108.39474,351.39,0.39,0.59,2026-09-23,550,N,VIIRS,n,2.0NRT,297.55,11.19,D
-7.77086,108.29738,334.6,0.39,0.6,2026-09-23,550,N,VIIRS,n,2.0NRT,297.51,2.03,D
-7.76968,108.29812,334.01,0.39,0.6,2026-09-23,550,N,VIIRS,n,2.0NRT,296.98,2.84,D
-7.7455,108.06516,353.85,0.41,0.6,2026-09-23,550,N,VIIRS,n,2.0NRT,298.91,10.69,D
-7.58888,107.82025,346.29,0.42,0.61,2026-09-23,550,N,VIIRS,n,2.0NRT,297.12,4.11,D
-7.40272,108.8328,335.35,0.36,0.57,2026-09-23,550,N,VIIRS,n,2.0NRT,299.38,3.48,D
-7.26043,108.5907,332.28,0.37,0.58,2026-09-23,553,N,VIIRS,n,2.0NRT,297.62,2.22,D
-7.2467,107.20903,337.53,0.46,0.64,2026-09-23,553,N,VIIRS,n,2.0NRT,296.24,4.21,D
-7.00435,107.91445,330.16,0.41,0.61,2026-09-23,553,N,VIIRS,l,2.0NRT,301.48,4.47,D
-6.99041,108.84992,336.09,0.35,0.57,2026-09-23,553,N,VIIRS,n,2.0NRT,301.17,3.23,D
-6.98486,108.66383,331.44,0.36,0.58,2026-09-23,553,N,VIIRS,l,2.0NRT,303.47,2.14,D
-6.91055,108.57039,335.54,0.37,0.58,2026-09-23,553,N,VIIRS,n,2.0NRT,297.77,1.71,D
-6.90988,107.9147,341.43,0.41,0.6,2026-09-23,553,N,VIIRS,n,2.0NRT,295.69,5.26,D
-6.9094,107.91824,332.15,0.41,0.6,2026-09-23,553,N,VIIRS,n,2.0NRT,295.16,5.26,D
-6.78895,108.6449,332.07,0.36,0.57,2026-09-23,553,N,VIIRS,n,2.0NRT,298.98,2.19,D
-6.78362,108.64416,350.85,0.36,0.57,2026-09-23,553,N,VIIRS,n,2.0NRT,299.38,3.96,D
-6.65821,108.07729,350.61,0.39,0.6,2026-09-23,553,N,VIIRS,n,2.0NRT,301.54,4.83,D
-6.6243,108.07973,330.93,0.39,0.59,2026-09-23,553,N,VIIRS,n,2.0NRT,299.18,1.7,D
-6.57828,108.12811,334.71,0.39,0.59,2026-09-23,553,N,VIIRS,n,2.0NRT,300,1.14,D
-6.54916,108.09492,331.28,0.39,0.59,2026-09-23,553,N,VIIRS,n,2.0NRT,298.64,2.01,D
-6.49431,107.80133,335.27,0.41,0.6,2026-09-23,553,N,VIIRS,n,2.0NRT,292.81,4.93,D
-7.06429,106.61398,315.96,0.43,0.38,2026-09-23,1836,N,VIIRS,n,2.0NRT,291.78,1.44,N
-7.06082,106.61469,333.13,0.43,0.38,2026-09-23,1836,N,VIIRS,n,2.0NRT,292.6,2.96,N
-7.05479,108.05885,300.13,0.5,0.41,2026-09-23,1836,N,VIIRS,n,2.0NRT,289.26,0.26,N
-6.54773,108.09522,309.16,0.49,0.41,2026-09-23,1836,N,VIIRS,n,2.0NRT,292.27,1.15,N
-6.44327,108.04057,305.97,0.49,0.4,2026-09-23,1836,N,VIIRS,n,2.0NRT,291.29,0.91,N
-6.37172,108.35915,305.96,0.51,0.41,2026-09-23,1836,N,VIIRS,n,2.0NRT,292.74,0.73,N
-7.27354,106.42007,367,0.37,0.58,2026-09-24,712,N,VIIRS,h,2.0NRT,294.87,9.46,D
-6.63089,107.88739,349.77,0.48,0.64,2026-09-24,712,N,VIIRS,n,2.0NRT,288.26,7.12,D
-6.62494,107.88628,342.13,0.48,0.64,2026-09-24,712,N,VIIRS,n,2.0NRT,288.19,7.12,D
