latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-0.27283,116.52789,309.68,4.22,1.9,2026-09-24,130,Terra,MODIS,0,6.1NRT,290.45,40.8,D
2.50746,114.64991,306,2.66,1.57,2026-09-24,130,Terra,MODIS,50,6.1NRT,290.15,19.64,D
2.51078,114.62679,306.65,2.65,1.56,2026-09-24,130,Terra,MODIS,45,6.1NRT,290.15,20.74,D
2.51407,114.60391,307.36,2.64,1.56,2026-09-24,130,Terra,MODIS,26,6.1NRT,290.08,21.34,D
2.53501,114.5196,305.69,2.6,1.55,2026-09-24,130,Terra,MODIS,38,6.1NRT,289.86,17.2,D
2.57525,114.43488,307.04,2.55,1.54,2026-09-24,130,Terra,MODIS,26,6.1NRT,289.8,16.76,D
2.58922,114.0715,311.43,2.38,1.49,2026-09-24,130,Terra,MODIS,25,6.1NRT,290.57,16.62,D
2.60593,114.50708,308.1,2.58,1.54,2026-09-24,130,Terra,MODIS,51,6.1NRT,289.64,18.94,D
2.64363,114.4076,320.44,2.53,1.53,2026-09-24,130,Terra,MODIS,61,6.1NRT,290.03,51.52,D
2.67418,114.47862,308.41,2.56,1.54,2026-09-24,130,Terra,MODIS,43,6.1NRT,289.79,20.03,D
2.74741,114.16351,307.38,2.41,1.5,2026-09-24,130,Terra,MODIS,26,6.1NRT,290.22,14.58,D
-3.23499,111.89906,317.95,1.98,1.37,2026-09-24,132,Terra,MODIS,53,6.1NRT,295.43,23.45,D
-3.22292,111.90067,326.67,1.98,1.37,2026-09-24,132,Terra,MODIS,77,6.1NRT,296.66,44.21,D
-3.2156,111.93694,327.98,2,1.38,2026-09-24,132,Terra,MODIS,59,6.1NRT,296.97,44.79,D
-3.21085,111.90226,320.59,1.98,1.37,2026-09-24,132,Terra,MODIS,72,6.1NRT,296.73,26.01,D
-2.86623,110.38657,320.26,1.5,1.21,2026-09-24,132,Terra,MODIS,38,6.1NRT,298.09,17.42,D
-2.8618,110.39362,326.91,1.5,1.21,2026-09-24,132,Terra,MODIS,66,6.1NRT,297.25,29.12,D
-2.85561,110.388,325.82,1.5,1.21,2026-09-24,132,Terra,MODIS,52,6.1NRT,296.67,26.22,D
-2.63037,108.0737,327.09,1.09,1.04,2026-09-24,132,Terra,MODIS,61,6.1NRT,298.87,21.26,D
-2.62905,108.06421,328.43,1.09,1.04,2026-09-24,132,Terra,MODIS,62,6.1NRT,299.45,23.18,D
-2.62169,108.07129,319.48,1.09,1.04,2026-09-24,132,Terra,MODIS,71,6.1NRT,297.7,12.05,D
-2.62033,108.06181,315.82,1.08,1.04,2026-09-24,132,Terra,MODIS,65,6.1NRT,298.02,8.71,D
-2.26122,110.43221,316.15,1.48,1.2,2026-09-24,132,Terra,MODIS,62,6.1NRT,295.38,14.72,D
-2.25067,110.43363,314.16,1.48,1.2,2026-09-24,132,Terra,MODIS,39,6.1NRT,297.08,11.22,D
-2.21798,110.54971,325.22,1.5,1.21,2026-09-24,132,Terra,MODIS,78,6.1NRT,295.57,32.35,D
